ctuid,ai_own_s0,ai_own_s1,ai_own_s2,ai_own_change_s1,ai_own_change_s2
2021S05075350018.00,0.039279426164185366,0.05548568014146841,0.039279426164185366,0.016206253977283043,0.0
2021S05075350019.00,0.026934463655441394,0.026934463655441394,0.026934463655441394,0.0,0.0
2021S05075350020.00,0.03605383090302049,0.03785076172603532,0.03688012167697492,0.001796930823014832,0.0008262907739544356
2021S05075350021.00,0.02182850986645458,0.02678543136386555,0.028149133684722487,0.00495692149741097,0.006320623818267906
2021S05075350022.00,0.03654435921462621,0.03654435921462621,0.03725168602300326,0.0,0.000707326808377047
2021S05075350023.00,0.031016718303219247,0.031016718303219247,0.031016718303219247,0.0,0.0
2021S05075350024.00,0.030421514753690513,0.04211896549789647,0.0406385632689198,0.011697450744205955,0.010217048515229286
2021S05075350025.00,0.02592442126836234,0.02742960333549288,0.02592442126836234,0.0015051820671305415,0.0
2021S05075350026.00,0.03629418977570728,0.03773042122954457,0.03671519804117846,0.0014362314538372903,0.00042100826547118025
2021S05075350027.00,0.03024515814642273,0.03024515814642273,0.03275467467039107,0.0,0.0025095165239683373
2021S05075350028.01,0.04370116728095366,0.052658135925447,0.04777189440844724,0.008956968644493336,0.004070727127493574
2021S05075350028.02,0.04036802740359279,0.04856559081527681,0.04403813661008464,0.008197563411684018,0.003670109206491849
2021S05075350029.00,0.028393413770111134,0.028393413770111134,0.032909867722421104,0.0,0.004516453952309971
2021S05075350030.00,0.03854651558852711,0.03854651558852711,0.055300966781217195,0.0,0.016754451192690083
2021S05075350031.00,0.029627910020985547,0.03571892580811009,0.031216044785859508,0.006091015787124544,0.0015881347648739608
2021S05075350032.00,0.015406513210912479,0.02307669220649761,0.025207111615092422,0.007670178995585131,0.009800598404179944
2021S05075350033.00,0.01497855451060936,0.015354352318556804,0.01843739660873154,0.00037579780794744395,0.003458842098122179
2021S05075350034.01,0.02888721227046091,0.051889483415282246,0.02888721227046091,0.023002271144821337,0.0
2021S05075350034.02,0.0325907010230841,0.0325907010230841,0.03981432842525298,0.0,0.007223627402168885
2021S05075350035.00,0.03259070102308409,0.03259070102308409,0.06520671722040856,0.0,0.032616016197324474
2021S05075350036.00,0.03465407332811702,0.03465407332811702,0.05217483334963723,0.0,0.017520760021520213
2021S05075350037.00,0.022665351166053935,0.034010617158709365,0.026666002273702624,0.01134526599265543,0.0040006511076486895
2021S05075350038.00,0.01911000196353567,0.020804132466103433,0.02534009252146051,0.0016941305025677637,0.006230090557924839
2021S05075350039.00,0.02944273558335439,0.036910644699668045,0.02944273558335439,0.007467909116313655,0.0
2021S05075350040.00,0.023979423578135775,0.023979423578135775,0.03292217886304836,0.0,0.008942755284912583
2021S05075350041.00,0.027847938682515477,0.03920683096585859,0.03463774209922941,0.011358892283343115,0.006789803416713931
2021S05075350042.00,0.021233335515039635,0.021233335515039635,0.022190310883497332,0.0,0.0009569753684576972
2021S05075350043.00,0.025395351446559036,0.0286874446096743,0.030554353826930176,0.0032920931631152638,0.00515900238037114
2021S05075350044.01,0.02931928595826693,0.02931928595826693,0.02931928595826693,0.0,0.0
2021S05075350044.02,0.049379850034975886,0.049379850034975886,0.049379850034975886,0.0,0.0
2021S05075350045.00,0.02623304533108094,0.02623304533108094,0.028536045023359588,0.0,0.0023029996922786476
