ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350484.04,5350484.04,5350484.04,945.0,340.0,320.0,119000.0,100000.0,0.1875,265.0,60.0,1000000.0,13200.0,1800.0,1100.0,1000000.0
2021S05075350485.02,5350485.02,5350485.02,8536.0,3360.0,3235.0,90000.0,78500.0,0.3106646058732612,2230.0,1005.0,695000.0,15000.0,1700.0,1250.0,695000.0
2021S05075350485.04,5350485.04,5350485.04,3933.0,1512.0,1475.0,99000.0,84000.0,0.27796610169491526,1065.0,410.0,730000.0,15480.0,1640.0,1290.0,730000.0
2021S05075350485.05,5350485.05,5350485.05,4979.0,1517.0,1500.0,119000.0,102000.0,0.09,1365.0,135.0,785000.0,23760.0,2060.0,1980.0,785000.0
2021S05075350500.01,5350500.01,5350500.01,3678.0,1766.0,1665.0,75000.0,65500.0,0.6818181818181818,525.0,1125.0,1100000.0,16080.0,1550.0,1340.0,1100000.0
2021S05075350500.02,5350500.02,5350500.02,4780.0,2303.0,2150.0,76000.0,68000.0,0.4236111111111111,1245.0,915.0,800000.0,16080.0,1680.0,1340.0,800000.0
2021S05075350501.01,5350501.01,5350501.01,5718.0,2594.0,2505.0,95000.0,81000.0,0.2554890219560878,1865.0,640.0,780000.0,21600.0,1320.0,1800.0,780000.0
2021S05075350501.02,5350501.02,5350501.02,7122.0,2729.0,2650.0,132000.0,111000.0,0.1323251417769376,2295.0,350.0,1040000.0,25920.0,1820.0,2160.0,1040000.0
2021S05075350502.01,5350502.01,5350502.01,5645.0,2106.0,2055.0,102000.0,89000.0,0.25980392156862747,1515.0,530.0,755000.0,17040.0,1780.0,1420.0,755000.0
2021S05075350502.02,5350502.02,5350502.02,2533.0,954.0,935.0,98000.0,87000.0,0.29473684210526313,670.0,280.0,800000.0,14040.0,1860.0,1170.0,800000.0
2021S05075350503.00,5350503.00,5350503.00,4946.0,1886.0,1830.0,91000.0,80000.0,0.4426229508196721,1020.0,810.0,850000.0,18240.0,1600.0,1520.0,850000.0
2021S05075350504.00,5350504.00,5350504.00,3419.0,1214.0,1195.0,126000.0,106000.0,0.19665271966527198,960.0,235.0,1180000.0,21600.0,1900.0,1800.0,1180000.0
2021S05075350505.01,5350505.01,5350505.01,4476.0,1476.0,1435.0,198000.0,160000.0,0.0313588850174216,1390.0,45.0,1700000.0,39360.0,1660.0,3280.0,1700000.0
2021S05075350505.02,5350505.02,5350505.02,5664.0,1821.0,1760.0,212000.0,170000.0,0.03977272727272727,1685.0,70.0,2000000.0,35760.0,2600.0,2980.0,2000000.0
2021S05075350506.00,5350506.00,5350506.00,2609.0,860.0,835.0,238000.0,180000.0,0.054878048780487805,775.0,45.0,2500000.0,39360.0,2580.0,3280.0,2500000.0
2021S05075350507.00,5350507.00,5350507.00,3707.0,1370.0,1310.0,138000.0,114000.0,0.08614232209737828,1215.0,115.0,1510000.0,23520.0,1880.0,1960.0,1510000.0
2021S05075350508.00,5350508.00,5350508.00,3533.0,1315.0,1270.0,114000.0,98000.0,0.14682539682539683,1075.0,185.0,1000000.0,30960.0,1660.0,2580.0,1000000.0
2021S05075350509.01,5350509.01,5350509.01,5122.0,2002.0,1955.0,111000.0,94000.0,0.11253196930946291,1730.0,220.0,950000.0,20160.0,1580.0,1680.0,950000.0
2021S05075350509.02,5350509.02,5350509.02,3418.0,1370.0,1335.0,124000.0,105000.0,0.08955223880597014,1215.0,120.0,1010000.0,30000.0,1700.0,2500.0,1010000.0
